reset,duration,log10_resp,timestamp,multiStepPredictions.actual,multiStepPredictions.1,multiStepBucketLikelihoods.1,multiStepBestPredictions.actual,multiStepBestPredictions.1,anomalyScore,anomalyLabel,multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=log10_resp,multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=log10_resp
int,string,string,string,string,string,string,string,string,string,string,float,float
R,,,,,,,,,,,,
0,290,2.5241878056,2015-11-03 22:00:00,2.5241878056,None,None,2.5241878056,None,1.0,[],0,0
0,291,2.4872506123,2015-11-03 22:00:10,2.4872506123,{2.5241878055999996: 1.0},{0: 1.0},2.4872506123,2.5241878056,1.0,[],0.0369371933,1.4850611803
0,274,2.5458034837,2015-11-03 22:00:20,2.5458034837,{2.5241878055999996: 1.0},{2: 1.0},2.5458034837,2.5241878056,1.0,[],0.0292764357,1.1633666216
0,867,2.550237381,2015-11-03 22:00:30,2.550237381,{2.5131066476099995: 1.0},{1: 1.0},2.550237381,2.51310664761,0.0,[],0.03189453493,1.26176878576
0,387,2.4843798104,2015-11-03 22:00:40,2.4843798104,{2.5131066476099995: 0.014802631578947355	 2.5458034837: 0.98519736842105254},{1: 0.014802631578947355	 3: 0.98519736842105254},2.4843798104,2.5458034837,0.0,[],0.0392768195225,1.56051259129
0,382,2.5236878969,2015-11-03 22:00:50,2.5236878969,{2.5131066476099995: 0.0093404059040590477	 2.5471336528899995: 0.99065959409594095},{1: 0.0093404059040590477	 3: 0.99065959409594095},2.5236878969,2.54713365289,0.0,[],0.036110606816,1.43394395662
0,270,2.5321469141,2015-11-03 22:01:00,2.5321469141,{2.504488596446999: 0.37318365069009901	 2.5471336528899995: 0.62681634930990093},{1: 0.37318365069009901	 3: 0.62681634930990093},2.5321469141,2.54713365289,0.0,[],0.032589962145,1.29295264999
0,291,2.4890817688,2015-11-03 22:01:10,2.4890817688,{2.504488596446999: 0.26540044424435411	 2.5236878969000003: 0.28932633153038873	 2.5471336528899995: 0.44527322422525728},{1: 0.26540044424435411	 2: 0.28932633153038873	 3: 0.44527322422525728},2.4890817688,2.54713365289,0.0,[],0.0362273795657,1.4398318911
0,290,2.5303899258,2015-11-03 22:01:20,2.5303899258,{2.5262256020600002: 0.46214192842529883	 2.504488596446999: 0.20095660575265628	 2.5471336528899995: 0.33690146582204489},{1: 0.20095660575265628	 2: 0.46214192842529883	 3: 0.33690146582204489},2.5303899258,2.52622560206,0.0,[],0.0322194975875,1.27963195585
0,333,2.523507612,2015-11-03 22:01:30,2.523507612,{2.499866548152899: 0.37101235951506095	 2.5262256020600002: 0.36378695227584062	 2.5471336528899995: 0.26520068820909842},{1: 0.37101235951506095	 2: 0.36378695227584062	 3: 0.26520068820909842},2.523507612,2.49986654815,0.0,[],0.031266338283,1.24146747729
0,302,2.455726293,2015-11-03 22:01:40,2.455726293,{2.499866548152899: 0.30011470534434553	 2.527474899182: 0.48539804851026008	 2.5471336528899995: 0.21448724614539436},{1: 0.30011470534434553	 2: 0.48539804851026008	 3: 0.21448724614539436},2.455726293,2.52747489918,0.0,[],0.0353145650729,1.40571083062
0,280,2.5152143438,2015-11-03 22:01:50,2.5152143438,{2.5262847130274: 0.57553946956439006	 2.499866548152899: 0.24755753954794257	 2.5471336528899995: 0.17690299088766734},{2: 0.24755753954794257	 3: 0.57553946956439006	 4: 0.17690299088766734},2.5152143438,2.52628471303,0.0,[],0.0331105472688,1.31783625366
0,268,2.5498979702,2015-11-03 22:02:00,2.5498979702,{2.5262847130274: 0.48174876578736092	 2.486624471607029: 0.37017659809996883	 2.5471336528899995: 0.14807463611267024},{1: 0.37017659809996883	 3: 0.48174876578736092	 4: 0.14807463611267024},2.5498979702,2.52628471303,0.0,[],0.0323191064274,1.28474215527
0,316,2.4861543043,2015-11-03 22:02:10,2.4861543043,{2.5262847130274: 0.40789462437406809	 2.5375578601629996: 0.27866435474569712	 2.486624471607029: 0.31344102088023473},{1: 0.31344102088023473	 3: 0.40789462437406809	 4: 0.27866435474569712},2.4861543043,2.52628471303,0.0,[],0.0329199758351,1.30980755007
0,239,2.5828760338,2015-11-03 22:02:20,2.5828760338,{2.5498979702: 0.14553319500913778	 2.5262847130274: 0.34852841111597554	 2.5375578601629996: 0.23810670450295138	 2.486624471607029: 0.26783168937193536},{1: 0.26783168937193536	 3: 0.34852841111597554	 4: 0.23810670450295138},2.5828760338,2.52628471303,0.0,[],0.0346107861878,1.37436503451
0,285,2.5146838698,2015-11-03 22:02:30,2.5146838698,{2.4861543043000003: 0.13919421927173711	 2.5262847130274: 0.30001283259556794	 2.5375578601629996: 0.20496196177865852	 2.486624471607029: 0.23055618900947825	 2.5498979702: 0.1252747973445584},{1: 0.23055618900947825	 3: 0.30001283259556794	 4: 0.1252747973445584},2.5146838698,2.52628471303,0.0,[],0.0330767899904,1.31357747428
0,279,2.4493351714,2015-11-03 22:02:40,2.4493351714,{2.5498979702: 0.10849439271927148	 2.5828760338000007: 0.13394369471515091	 2.5262847130274: 0.25982648362159294	 2.5375578601629996: 0.17750755974135801	 2.4861543043000003: 0.120549325243639	 2.486624471607029: 0.19967854395898765},{1: 0.19967854395898765	 3: 0.25982648362159294	 4: 0.17750755974135801	 5: 0.13394369471515091},2.4493351714,2.52628471303,0.0,[],0.0358188369677,1.42490320989
0,326,2.519713053,2015-11-03 22:02:50,2.519713053,{2.5498979702: 0.09443898120234738	 2.5828760338000007: 0.11659133481771448	 2.5262847130274: 0.22616605142076679	 2.4861543043000003: 0.10493220133594021	 2.5306956630540993: 0.28405744358569324	 2.486624471607029: 0.17381398763753789},{2: 0.17381398763753789	 3: 0.28405744358569324	 4: 0.09443898120234738	 6: 0.11659133481771448},2.519713053,2.53069566305,0.0,[],0.0343578824434,1.3665952742
0,295,2.5180311104,2015-11-03 22:03:00,2.5180311104,{2.5498979702: 0.082555663318246666	 2.5828760338000007: 0.10192057199783543	 2.5262847130274: 0.19770743137417415	 2.4861543043000003: 0.091728514798047209	 2.4754376815449204: 0.27777350616798113	 2.5306956630540993: 0.24831431234371532},{1: 0.27777350616798113	 2: 0.091728514798047209	 3: 0.24831431234371532	 4: 0.082555663318246666	 6: 0.10192057199783543},2.5180311104,2.47543768154,0.0,[],0.0348154127996,1.38467409661
0,265,2.4752260483,2015-11-03 22:03:10,2.4752260483,{2.5498979702: 0.072429248714018429	 2.5828760338000007: 0.089418825572858435	 2.5262847130274: 0.17345630988885058	 2.5274008800378693: 0.34051523558009056	 2.4754376815449204: 0.24370343722860574	 2.4861543043000003: 0.080476943015576272},{1: 0.24370343722860574	 2: 0.080476943015576272	 3: 0.34051523558009056	 4: 0.072429248714018429	 6: 0.089418825572858435},2.4752260483,2.52740088004,0.0,[],0.0357290664279,1.42217622083
0,913,2.5169999959,2015-11-03 22:03:20,2.5169999959,{2.5498979702: 0.063741857421383288	 2.5828760338000007: 0.078693651137508369	 2.5262847130274: 0.15265141596912368	 2.4754376815449204: 0.21447446910094281	 2.4861543043000003: 0.07082428602375726	 2.5245899491465082: 0.41961432034728458},{1: 0.21447446910094281	 2: 0.07082428602375726	 3: 0.41961432034728458	 4: 0.063741857421383288	 6: 0.078693651137508369},2.5169999959,2.52458994915,0.0,[],0.0343221107689,1.36604481923
0,288,2.4978071068,2015-11-03 22:03:30,2.4978071068,{2.5498979702: 0.056245970210780101	 2.4828758275: 0.18009187361567858	 2.5828760338000007: 0.069439469396025646	 2.5262847130274: 0.13469998118305015	 2.4754376815449204: 0.1892540074885046	 2.5245899491465082: 0.37026869810596091},{1: 0.1892540074885046	 3: 0.37026869810596091	 4: 0.056245970210780101	 6: 0.069439469396025646},2.4978071068,2.52458994915,0.0,[],0.0339630979869,1.35213282017
0,713,2.5349878917,2015-11-03 22:03:40,2.5349878917,{2.5498979702: 0.049745978178844248	 2.4828758275: 0.15927979162772579	 2.5828760338000007: 0.061414787875116325	 2.5262847130274: 0.11913355391526954	 2.5223129631725554: 0.44304183834153366	 2.4754376815449204: 0.16738405006151055},{1: 0.16738405006151055	 3: 0.44304183834153366	 4: 0.049745978178844248	 6: 0.061414787875116325},2.5349878917,2.52231296317,0.0,[],0.0329954539205,1.31305856481
0,266,2.5216765556,2015-11-03 22:03:50,2.5216765556,{2.5498979702: 0.043501992999175974	 2.4828758275: 0.13928740842905532	 2.5828760338000007: 0.053706164196513528	 2.5223129631725554: 0.38743238459570301	 2.4754376815449204: 0.15960558050083398	 2.51774143115918: 0.21646646927871827},{1: 0.15960558050083398	 3: 0.21646646927871827	 4: 0.043501992999175974	 6: 0.053706164196513528},2.5216765556,2.52231296317,0.0,[],0.0315885388619,1.25687867334
0,281,2.5210397259,2015-11-03 22:04:00,2.5210397259,{2.4828758275: 0.1253586675861498	 2.5828760338000007: 0.048335547776862116	 2.54542494665: 0.15143804141801528	 2.5223129631725554: 0.3486891461361325	 2.4754376815449204: 0.13135877473199364	 2.51774143115918: 0.19481982235084647},{1: 0.13135877473199364	 3: 0.19481982235084647	 4: 0.15143804141801528	 6: 0.048335547776862116},2.5210397259,2.52231296317,0.0,[],0.0303254012957,1.20646384963
0,404,2.4939202738,2015-11-03 22:04:10,2.4939202738,{2.4828758275: 0.1253586675861498	 2.5828760338000007: 0.048335547776862116	 2.54542494665: 0.15143804141801528	 2.5221220409007885: 0.3486891461361325	 2.4754376815449204: 0.13135877473199364	 2.51774143115918: 0.19481982235084647},{1: 0.13135877473199364	 3: 0.19481982235084647	 4: 0.15143804141801528	 6: 0.048335547776862116},2.4939202738,2.5221220409,0.0,[],0.0302404559279,1.2034608471
0,255,2.4952882347,2015-11-03 22:04:20,2.4952882347,{2.4828758275: 0.1238324543918093	 2.5828760338000007: 0.047747073503856437	 2.54542494665: 0.14959431779373206	 2.4754376815449204: 0.12975951160126045	 2.521797346400552: 0.35661870727398604	 2.51774143115918: 0.19244793543535579},{1: 0.12975951160126045	 3: 0.19244793543535579	 4: 0.14959431779373206	 6: 0.047747073503856437},2.4952882347,2.5217973464,0.0,[],0.0300969426884,1.1980705052
0,296,2.4504437123,2015-11-03 22:04:30,2.4504437123,{2.5105950839514257: 0.20287986087497287	 2.4828758275: 0.12410379852935367	 2.5828760338000007: 0.047851697841182241	 2.54542494665: 0.14992211183886053	 2.4754376815449204: 0.13004384322447307	 2.521797346400552: 0.34519868769115752},{1: 0.13004384322447307	 3: 0.34519868769115752	 4: 0.14992211183886053	 6: 0.047851697841182241},2.4504437123,2.5217973464,0.0,[],0.0316249682962,1.26004243242
0,285,2.5137584816,2015-11-03 22:04:40,2.5137584816,{2.4828758275: 0.12410379852935367	 2.506003029175998: 0.20287986087497287	 2.54542494665: 0.14992211183886053	 2.5828760338000007: 0.047851697841182241	 2.4754376815449204: 0.13004384322447307	 2.521797346400552: 0.34519868769115752},{1: 0.13004384322447307	 2: 0.20287986087497287	 3: 0.34519868769115752	 4: 0.14992211183886053	 6: 0.047851697841182241},2.5137584816,2.5217973464,0.0,[],0.0307826074571,1.22641151934
0,352,2.4985282688,2015-11-03 22:04:50,2.4985282688,{2.4828758275: 0.10442424235016685	 2.506003029175998: 0.17087975956582757	 2.54542494665: 0.12614845899827193	 2.5828760338000007: 0.040263693387698272	 2.521797346400552: 0.29045937231240287	 2.4679394907714443: 0.26782447338563259},{1: 0.26782447338563259	 2: 0.17087975956582757	 3: 0.29045937231240287	 4: 0.12614845899827193	 6: 0.040263693387698272},2.4985282688,2.5217973464,0.0,[],0.0305235202207,1.2162804608
0,352,2.474947608,2015-11-03 22:05:00,2.474947608,{2.4828758275: 0.088785317052405638	 2.506003029175998: 0.1454079409905456	 2.54542494665: 0.10725604204315382	 2.5828760338000007: 0.034233667419296551	 2.519385686960386: 0.39660285187168287	 2.4679394907714443: 0.22771418062291546},{1: 0.22771418062291546	 2: 0.1454079409905456	 3: 0.39660285187168287	 4: 0.10725604204315382	 6: 0.034233667419296551},2.474947608,2.51938568696,0.0,[],0.0309873388453,1.23533063028
